province,commodity,area,value
Bali,Bumbu-bumbuan/Spices,rural,12301.0
Bali,Konsumsi lainnya/Miscellaneous food items,rural,8998.0
Bali,Makanan dan minuman jadi/Prepared food and beverages,rural,178627.0
Bali,Rokok/Cigarettes,rural,61581.0
Bali,Jumlah makanan/Total food,rural,678397.0
Bali,Perumahan dan fasilitas rumah tangga/Housing and household facilities,rural,354811.0
Bali,Aneka barang dan jasa/Goods and services,rural,108423.0
Bali,"Pakaian, alas kaki, dan tutup kepala/Clothing, footwear, and headgear",rural,17385.0
Bali,Barang tahan lama/Durable goods,rural,37065.0
Bali,"Pajak, pungutan, dan asuransi/Taxes and insurance",rural,55769.0
Bali,Keperluan pesta dan upacara/kenduri/Parties and ceremonies,rural,72177.0
Bali,Jumlah bukan makanan/Total non-food,rural,645630.0
Bali,Jumlah/Total,rural,1324028.0
Bali,Padi-padian/Cereals,total,108164.0
Bali,Umbi-umbian/Tubers,total,6464.0
Bali,Ikan/udang/cumi/kerang/Fish/shrimp/common squid/shells,total,41319.0
Bali,Daging/Meat,total,71217.0
Bali,Telur dan susu/Eggs and milk,total,37414.0
Bali,Sayur-sayuran/Vegetables,total,61777.0
Bali,Kacang-kacangan/Legumes,total,14054.0
Bali,Buah-buahan/Fruits,total,49214.0
Bali,Minyak dan kelapa/Oil and coconut,total,15382.0
Bali,Bahan minuman/Beverages stuffs,total,16995.0
Bali,Bumbu-bumbuan/Spices,total,14916.0
Bali,Konsumsi lainnya/Miscellaneous food items,total,11043.0
Bali,Makanan dan minuman jadi/Prepared food and beverages,total,291413.0
Bali,Rokok/Cigarettes,total,65609.0
Bali,Jumlah makanan/Total food,total,804982.0
Bali,Perumahan dan fasilitas rumah tangga/Housing and household facilities,total,582880.0
Bali,Aneka barang dan jasa/Goods and services,total,209808.0
Bali,"Pakaian, alas kaki, dan tutup kepala/Clothing, footwear, and headgear",total,25959.0
Bali,Barang tahan lama/Durable goods,total,66672.0
Bali,"Pajak, pungutan, dan asuransi/Taxes and insurance",total,86163.0
Bali,Keperluan pesta dan upacara/kenduri/Parties and ceremonies,total,96295.0
Bali,Jumlah bukan makanan/Total non-food,total,1067778.0
